자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
SPB-11637,2019.11.1 15:35,00103,망원역 2번출구 앞,4,2019.11.1 15:41,00101,(구)합정동 주민센터,2,5,1110
SPB-17056,2019.11.1 16:54,00106,합정역 7번출구 앞,7,2019.11.1 17:01,00101,(구)합정동 주민센터,5,6,830
SPB-17169,2019.11.1 18:32,00148,용강동 주민센터 앞,2,2019.11.1 19:05,00101,(구)합정동 주민센터,2,32,5440
SPB-03131,2019.11.1 18:34,00226,샛강역 1번출구 앞,14,2019.11.1 19:10,00101,(구)합정동 주민센터,1,35,6890
SPB-00122,2019.11.1 18:55,00113,홍대입구역 2번출구 앞,25,2019.11.1 19:14,00101,(구)합정동 주민센터,3,19,2790
SPB-15851,2019.11.1 19:15,00128,신촌역(2호선) 1번출구 옆,18,2019.11.1 19:34,00101,(구)합정동 주민센터,1,18,3750
SPB-05526,2019.11.1 19:39,00106,합정역 7번출구 앞,4,2019.11.1 19:46,00101,(구)합정동 주민센터,2,6,920
SPB-03131,2019.11.1 19:44,00106,합정역 7번출구 앞,4,2019.11.1 19:48,00101,(구)합정동 주민센터,1,3,890
SPB-05526,2019.11.1 19:50,00101,(구)합정동 주민센터,2,2019.11.1 20:03,00101,(구)합정동 주민센터,4,12,1570
SPB-06179,2019.11.1 20:13,00267,삼성화재 사옥 옆,1,2019.11.1 20:26,00101,(구)합정동 주민센터,2,12,2380
SPB-07887,2019.11.1 20:22,00104,합정역 1번출구 앞,6,2019.11.1 20:30,00101,(구)합정동 주민센터,3,7,770
SPB-08747,2019.11.1 20:37,00115,사루비아 빌딩 앞,15,2019.11.1 20:53,00101,(구)합정동 주민센터,5,16,2670
SPB-21427,2019.11.1 20:50,00826,서울역 서부교차로2,20,2019.11.1 21:19,00101,(구)합정동 주민센터,5,27,6100
SPB-12849,2019.11.1 22:32,00102,망원역 1번출구 앞,7,2019.11.1 22:40,00101,(구)합정동 주민센터,1,7,1120
SPB-12120,2019.11.1 22:23,00391,정동길입구,4,2019.11.1 23:02,00101,(구)합정동 주민센터,3,38,6330
SPB-12825,2019.11.1 23:45,00103,망원역 2번출구 앞,7,2019.11.1 23:51,00101,(구)합정동 주민센터,1,5,790
SPB-06785,2019.11.2 00:32,00105,합정역 5번출구 앞,1,2019.11.2 00:47,00101,(구)합정동 주민센터,5,14,1360
SPB-15349,2019.11.2 01:14,00104,합정역 1번출구 앞,3,2019.11.2 01:20,00101,(구)합정동 주민센터,1,5,1040
SPB-24484,2019.11.2 01:19,00137,NH농협 신촌지점 앞,4,2019.11.2 01:35,00101,(구)합정동 주민센터,3,16,3840
SPB-11364,2019.11.2 02:17,00154,마포구청역,2,2019.11.2 02:26,00101,(구)합정동 주민센터,5,9,1630
SPB-07767,2019.11.2 02:52,00115,사루비아 빌딩 앞,4,2019.11.2 03:08,00101,(구)합정동 주민센터,5,14,1710
SPB-16514,2019.11.2 05:11,00106,합정역 7번출구 앞,2,2019.11.2 05:18,00101,(구)합정동 주민센터,1,6,820
SPB-25390,2019.11.2 10:49,00409,누리꿈스퀘어 옆,14,2019.11.2 11:36,00101,(구)합정동 주민센터,1,46,6980
SPB-08265,2019.11.2 14:24,00104,합정역 1번출구 앞,2,2019.11.2 14:53,00101,(구)합정동 주민센터,1,28,2210
SPB-24767,2019.11.2 14:54,00106,합정역 7번출구 앞,6,2019.11.2 15:21,00101,(구)합정동 주민센터,4,27,810
SPB-01372,2019.11.2 15:34,00104,합정역 1번출구 앞,11,2019.11.2 15:43,00101,(구)합정동 주민센터,2,8,1230
SPB-04854,2019.11.2 14:07,00104,합정역 1번출구 앞,5,2019.11.2 15:54,00101,(구)합정동 주민센터,5,106,3110
SPB-21518,2019.11.2 16:00,00116,일진아이윌아파트 옆,3,2019.11.2 16:49,00101,(구)합정동 주민센터,3,46,3980
SPB-22668,2019.11.2 16:02,00116,일진아이윌아파트 옆,3,2019.11.2 16:50,00101,(구)합정동 주민센터,4,46,42070
SPB-07402,2019.11.2 16:45,00151,망원1동주민센터,1,2019.11.2 16:59,00101,(구)합정동 주민센터,3,13,1250
SPB-10270,2019.11.2 16:41,00151,망원1동주민센터,2,2019.11.2 16:59,00101,(구)합정동 주민센터,4,16,1080
SPB-18146,2019.11.2 17:20,00826,서울역 서부교차로2,14,2019.11.2 17:51,00101,(구)합정동 주민센터,5,30,6930
SPB-24483,2019.11.2 17:29,00272,당산육갑문,3,2019.11.2 17:58,00101,(구)합정동 주민센터,2,28,4680
SPB-22746,2019.11.2 18:03,00115,사루비아 빌딩 앞,9,2019.11.2 18:17,00101,(구)합정동 주민센터,2,13,2210
SPB-08676,2019.11.2 18:25,00108,서교동 사거리,4,2019.11.2 18:48,00101,(구)합정동 주민센터,1,20,2570
