구별,강간,강도,살인,절도,폭력,전체발생비율
강북구,9.036549626841554,15.478630203141543,14.188744352879748,11.901484641966627,16.048895526415176,13.33086087024893
성북구,5.503792062221386,2.1122147902771378,5.808590673262128,10.644038700663106,8.918240225614579,6.597375290407667
강서구,6.875047838874545,11.180633354129311,4.3923916748365155,14.020443806973148,11.213325264521503,9.536368387867004
은평구,5.65335462900628,9.738604177549556,7.141643063536342,12.854957514365415,10.279637742968976,9.133639425485313
중랑구,5.836414499760951,4.718652692534007,4.325431634822839,15.685974120992805,13.362617347132119,8.785818059048543
도봉구,3.3670050189250214,0.0,8.02068695579639,12.460193443153027,9.372392306666914,6.644055544908269
금천구,8.291375166615838,11.87619306256141,7.257673538231972,19.512815268320672,15.360339370388878,12.459679281223755
성동구,6.669263233152107,6.470397929472663,5.931198102016607,13.963870802102424,10.273175659952209,8.661581145339202
강남구,18.899947458146066,18.899947458146066,18.899947458146066,18.899947458146066,18.899947458146066,18.899947458146066
강동구,5.116261519421675,9.879983883770288,9.056651893456099,14.566145377980213,10.81598235696958,9.887005006319571
구로구,8.229825109958712,18.397296517276786,23.188259151984283,15.867207392030053,13.824869020292791,15.901491438308526
용산구,19.19918156631723,29.10421387439453,19.056330512996418,17.92746251707623,20.630681263511914,21.183573946859262
관악구,10.07196421511813,16.809007835238855,17.120285758113646,16.188448160537764,14.018428561747282,14.841626906151138
서초구,15.981621506071301,6.7452488153656756,6.183144747418537,19.04259889345252,13.812639143356032,12.353050621132812
광진구,10.219657224520965,0.0,14.818502975555397,19.83719436407015,13.495000317451566,11.674070976319616
중구,24.149935046011038,37.74134647537339,6.919246853818454,45.42575690001856,33.238870053749906,29.49503106579427
마포구,17.926633083175393,4.9862653321426125,4.570743221130729,15.949054301869392,16.0741448207229,11.901368151808205
동대문구,5.5668984699437445,5.400903679203604,9.901656745206608,18.52542432329637,12.365226844492462,10.35202201242856
노원구,5.35729308456977,5.414112859709147,4.962936788066718,11.96674457595566,11.640870339686527,7.868391529597565
종로구,24.17820789914141,51.441354605190824,11.788643763689562,37.2228198678743,29.838241870774063,30.89385360133403
서대문구,7.683770123934661,17.805702394896645,13.601578218323828,14.575222254312859,9.475549227693538,12.628364443832305
양천구,3.876659296468564,6.1859611261830905,3.7803095771118884,13.400023206403825,9.50202215873738,7.34899507298095
영등포구,13.049973316396304,24.198866283114633,11.091147046427544,21.999145692729705,17.087795927988847,17.485385653331406
송파구,6.599604564893681,6.899586590570666,2.529848416542577,13.390452179904322,10.769003865633394,8.03769912350893
동작구,8.35114082807675,11.94299084975813,4.379096644911314,12.584418013632916,9.226135036567538,9.296756274589331
