,구분,죄종,발생검거,건수
220,구로,살인,발생,11
221,구로,살인,검거,11
222,구로,강도,발생,8
223,구로,강도,검거,9
224,구로,"강간,추행",발생,217
225,구로,"강간,추행",검거,145
226,구로,절도,발생,1565
227,구로,절도,검거,841
228,구로,폭력,발생,2056
229,구로,폭력,검거,1726
230,서초,살인,발생,2
231,서초,살인,검거,1
232,서초,강도,발생,3
233,서초,강도,검거,3
234,서초,"강간,추행",발생,370
235,서초,"강간,추행",검거,282
236,서초,절도,발생,1616
237,서초,절도,검거,836
238,서초,폭력,발생,1710
239,서초,폭력,검거,1386
240,양천,살인,발생,2
241,양천,살인,검거,2
242,양천,강도,발생,3
243,양천,강도,검거,3
244,양천,강간,발생,114
245,양천,강간,검거,92
246,양천,절도,발생,1474
247,양천,절도,검거,781
248,양천,폭력,발생,1576
249,양천,폭력,검거,1252
250,송파,살인,발생,2
251,송파,살인,검거,2
252,송파,강도,발생,5
253,송파,강도,검거,6
254,송파,"강간,추행",발생,290
255,송파,"강간,추행",검거,220
256,송파,절도,발생,2201
257,송파,절도,검거,1033
258,송파,폭력,발생,2669
259,송파,폭력,검거,2148
260,노원,살인,발생,3
261,노원,살인,검거,3
262,노원,강도,발생,3
263,노원,강도,검거,1
264,노원,"강간,추행",발생,180
265,노원,"강간,추행",검거,151
266,노원,절도,발생,1504
267,노원,절도,검거,729
268,노원,폭력,발생,2206
269,노원,폭력,검거,1757
270,방배,살인,발생,1
271,방배,살인,검거,1
272,방배,강도,발생,-1
273,방배,강도,검거,-1
274,방배,강간,발생,61
275,방배,강간,검거,46
276,방배,절도,발생,305
277,방배,절도,검거,188
278,방배,폭력,발생,391
279,방배,폭력,검거,355
280,은평,살인,발생,2
281,은평,살인,검거,2
282,은평,강도,발생,3
283,은평,강도,검거,2
284,은평,"강간,추행",발생,94
285,은평,"강간,추행",검거,82
286,은평,절도,발생,771
287,은평,절도,검거,486
288,은평,폭력,발생,897
289,은평,폭력,검거,779
290,도봉,살인,발생,3
291,도봉,살인,검거,3
292,도봉,강도,발생,-1
293,도봉,강도,검거,-1
294,도봉,강간,발생,70
295,도봉,강간,검거,54
296,도봉,절도,발생,969
297,도봉,절도,검거,546
298,도봉,폭력,발생,1099
299,도봉,폭력,검거,966
300,수서,살인,발생,6
301,수서,살인,검거,5
302,수서,강도,발생,2
303,수서,강도,검거,2
304,수서,"강간,추행",발생,209
305,수서,"강간,추행",검거,175
306,수서,절도,발생,930
307,수서,절도,검거,553
308,수서,폭력,발생,1268
309,수서,폭력,검거,1081
